lokasi;LT;LB;KT;KM;listrik;garasi_carport;harga
Kota Bekasi;84;168;4;3;1300;Ada;925000000
Kota Bekasi;77;60;2;2;1300;Ada;595000000
Kota Bekasi;245;117;3;2;2200;Tidak ada;2750000000
Kota Bekasi;296;200;4;2;5500;Tidak ada;2300000000
Kota Bekasi;200;250;4;3;2200;Ada;2300000000
Kota Bekasi;60;55;2;1;1300;Ada;600000000
Kabupaten Bekasi;60;40;2;1;1300;Ada;385000000
Kota Bekasi;94;145;4;2;2200;Ada;825000000
Kota Bekasi;84;75;2;2;2200;Tidak ada;990000000
Kota Bekasi;66;144;3;2;2200;Tidak ada;1600000000
Kota Bekasi;88;170;4;2;1300;Tidak ada;600000000
Kota Bekasi;60;40;2;1;1300;Ada;375000000
Kota Bekasi;97;90;3;1;2200;Ada;825000000
Kota Bekasi;78;140;3;1;1300;Ada;590000000
Kabupaten Bekasi;60;55;2;1;900;Ada;160000000
Kabupaten Bekasi;78;45;2;1;1300;Ada;500153000
Kota Bekasi;91;90;4;4;2200;Ada;1667000000
Kota Bekasi;110;135;3;2;2200;Ada;1175000000
Kota Bekasi;200;293;6;4;5500;Ada;4500000000
Kabupaten Bekasi;153;180;5;4;4400;Ada;1300000000
Kota Bekasi;144;144;3;3;2200;Tidak ada;2100000000
Kota Bekasi;110;135;3;2;2200;Tidak ada;1170000000
Kota Bekasi;60;60;1;1;1300;Ada;430000000
Kota Bekasi;94;102;3;2;2200;Ada;950000000
Kabupaten Bekasi;54;84;2;1;1300;Ada;650000000
Kota Bekasi;90;80;2;1;2200;Ada;890000000
Kabupaten Bekasi;72;36;2;1;2200;Tidak ada;330000000
Kota Bekasi;60;90;3;2;2200;Ada;725000000
Kota Bekasi;63;45;2;1;1300;Ada;682000000
Kota Bekasi;102;80;3;2;2200;Ada;895000000
Kota Bekasi;84;168;4;3;2200;Ada;1400000000
Kota Bekasi;60;60;1;1;1300;Ada;450000000
Kabupaten Bekasi;112;120;3;2;2200;Ada;1100000000
Kabupaten Bekasi;72;72;2;1;1300;Ada;200000000
Kota Bekasi;100;112;2;2;1300;Ada;750000000
Kota Bekasi;97;66;3;1;1300;Ada;1800000000
Kota Bekasi;117;110;4;3;2200;Ada;1450000000
Kota Bekasi;101;90;3;3;2200;Ada;1600000000
Kabupaten Bekasi;60;45;2;1;1300;Tidak ada;385000000
Kota Bekasi;94;70;2;2;1300;Tidak ada;850000000
Kota Bekasi;84;84;2;2;900;Ada;500000000
Kota Bekasi;84;141;3;3;2200;Ada;1250000000
Kota Bekasi;135;119;4;2;2200;Tidak ada;900000000
Kota Bekasi;150;145;3;2;3500;Ada;750000000
Kota Bekasi;90;110;4;2;3500;Ada;1400000000
Kota Bekasi;84;180;4;3;2200;Ada;1350000000
Kota Bekasi;105;85;3;2;2200;Ada;750000000
Kota Bekasi;143;143;2;2;2200;Tidak ada;950000000
Kabupaten Bekasi;60;55;2;2;2200;Ada;598000000
Kabupaten Bekasi;60;32;2;1;1300;Ada;481000000
Kota Bekasi;60;55;2;1;2200;Ada;1350000000
Kota Bekasi;126;90;5;1;2200;Ada;1200000000
Kota Bekasi;72;50;2;1;1300;Ada;520000000
Kota Bekasi;105;130;3;3;2200;Ada;1200000000
Kota Bekasi;160;180;4;2;2200;Tidak ada;1400000000
Kabupaten Bekasi;160;70;3;1;900;Ada;925000000
Kota Bekasi;126;90;3;2;2200;Ada;1200000000
Kota Bekasi;72;60;3;2;2200;Ada;1033000000
Kota Bekasi;96;69;3;3;2200;Ada;920000000
Kabupaten Bekasi;145;96;4;2;2200;Tidak ada;965000000
Kota Bekasi;364;494;5;3;2200;Ada;2485000000
Kota Bekasi;65;90;4;2;2200;Ada;800000000
Kota Bekasi;72;60;3;2;2200;Ada;1030000000
Kota Bekasi;96;69;3;3;2200;Ada;920000000
Kabupaten Bekasi;90;45;2;1;1300;Ada;270000000
Kabupaten Bekasi;78;45;3;1;1300;Ada;430000000
Kota Bekasi;60;53;2;1;1300;Ada;475000000
Kota Bekasi;94;60;2;1;1300;Ada;575000000
Kabupaten Bekasi;90;45;3;2;1300;Ada;300000000
Kabupaten Bekasi;78;45;2;1;1300;Ada;450000000
