lokasi;LT;LB;KT;KM;listrik;garasi_carport;harga
Kabupaten Bogor;30;25;1;1;1300;Ada;130000000
Kabupaten Bogor;162;100;3;2;1300;Ada;1250000000
Kabupaten Bogor;128;170;4;3;2200;Ada;1450000000
Kabupaten Bogor;120;200;4;3;2200;Ada;1500000000
Kabupaten Bogor;140;170;4;3;4400;Ada;1850000000
Kota Bogor;98;49;2;1;5500;Ada;840950000
Kabupaten Bogor;120;160;5;3;2200;Ada;1250000000
Kabupaten Bogor;60;39;2;1;1300;Ada;670000000
Kabupaten Bogor;60;36;2;1;1300;Ada;399000000
Kabupaten Bogor;70;40;2;1;1300;Ada;456000000
Kabupaten Bogor;60;37;2;1;1300;Ada;397223000
Kabupaten Bogor;72;55;3;2;2200;Ada;551834000
Kabupaten Bogor;72;36;2;1;1300;Ada;485000000
Kabupaten Bogor;72;47;2;2;1300;Ada;600000000
Kabupaten Bogor;60;39;2;1;1300;Ada;600000000
Kabupaten Bogor;72;43;2;1;1300;Ada;715000000
Kabupaten Bogor;60;30;2;1;1300;Ada;378990000
Kabupaten Bogor;105;36;2;1;1300;Ada;456000000
Kabupaten Bogor;60;36;2;1;1300;Ada;368000000
Kabupaten Bogor;84;42;2;1;1300;Ada;500000000
Kota Bogor;98;49;2;1;1300;Ada;925045000
Kota Bogor;144;72;3;1;1300;Ada;1621400000
Kabupaten Bogor;91;42;2;1;1300;Ada;488500000
Kabupaten Bogor;108;69;3;2;1300;Ada;795000000
Kabupaten Bogor;66;37;2;1;1300;Ada;221000000
Kabupaten Bogor;62;36;2;1;1300;Ada;239999999
Kota Bogor;60;50;2;1;1300;Ada;205000000
Kabupaten Bogor;210;150;4;2;2200;Ada;1400000000
Kabupaten Bogor;156;72;4;3;1300;Ada;650000000
Kota Bogor;255;219;6;5;2200;Ada;2500000000
Kabupaten Bogor;60;39;2;1;2200;Ada;633150000
Kabupaten Bogor;66;60;3;2;2200;Ada;550000000
Kabupaten Bogor;66;36;2;1;1300;Ada;377684362
Kota Bogor;270;150;5;4;2200;Ada;1850000000
Kabupaten Bogor;240;358;4;2;2200;Ada;4500000000
Kabupaten Bogor;90;80;3;1;1300;Ada;418000000
Kabupaten Bogor;72;65;2;1;1300;Ada;325000000
Kabupaten Bogor;60;72;2;1;1300;Ada;215000000
Kabupaten Bogor;60;72;2;1;1300;Ada;215000000
Kabupaten Bogor;72;65;2;2;1300;Ada;295000000
Kabupaten Bogor;72;65;2;1;1300;Ada;295000000
Kabupaten Bogor;800;400;6;6;5500;Ada;7000000000
Kabupaten Bogor;280;120;3;3;5500;Ada;900000000
Kabupaten Bogor;276;500;4;3;4400;Tidak ada;3300000000
Kabupaten Bogor;437;340;5;5;5500;Ada;5500000000
Kabupaten Bogor;106;54;3;2;1300;Ada;909000000
Kabupaten Bogor;72;36;2;1;1300;Ada;400000000
Kabupaten Bogor;72;55;2;1;1300;Ada;295000000
Kabupaten Bogor;180;130;3;1;1300;Ada;1700000000
Kabupaten Bogor;867;650;5;6;5500;Ada;16500000000
Kabupaten Bogor;696;400;3;3;5500;Ada;8500000000
Kabupaten Bogor;62;45;2;1;1300;Ada;420000000
Kabupaten Bogor;698;350;4;4;5500;Ada;6850000000
Kabupaten Bogor;72;55;2;1;1300;Ada;295000000
Kabupaten Bogor;81;36;2;1;1300;Ada;222750000
Kabupaten Bogor;65;32;2;1;1300;Ada;270000000
Kota Bogor;72;36;2;1;2200;Ada;670000000
Kabupaten Bogor;72;72;2;1;2200;Ada;650000000
Kabupaten Bogor;60;63;3;2;2200;Ada;598000000
Kota Bogor;66;70;2;1;1300;Ada;550000000
Kota Bogor;98;38;2;1;1300;Ada;525096000
Kabupaten Bogor;220;213;3;3;3500;Ada;1350000000
Kota Bogor;60;30;2;1;1300;Ada;168000000
Kabupaten Bogor;72;36;2;1;1300;Ada;189000000
Kabupaten Bogor;66;24;1;1;1300;Ada;168000000
Kota Bogor;93;36;2;1;1300;Ada;65000000
Kabupaten Bogor;60;36;2;1;1300;Ada;70000000
Kota Bogor;38;21;1;1;1300;Ada;200000000
Kota Bogor;102;69;3;2;2200;Ada;739600000
Kabupaten Bogor;108;108;4;2;1300;Ada;770000000
Kabupaten Bogor;175;50;3;1;900;Ada;425000000
Kabupaten Bogor;72;45;2;1;1300;Ada;450000000
Kabupaten Bogor;120;38;2;1;1300;Ada;420000000
Kabupaten Bogor;60;30;2;1;1300;Ada;400000000
Kabupaten Bogor;60;36;2;1;1300;Ada;300000000
Kabupaten Bogor;100;72;3;2;2200;Ada;1300000000
Kota Bogor;65;32;2;1;1300;Ada;270000000
Kabupaten Bogor;90;36;2;1;1300;Ada;498000000
Kota Bogor;50;32;2;1;1300;Ada;299000000
Kabupaten Bogor;119;36;2;1;1300;Ada;65000000
Kabupaten Bogor;84;36;2;1;1300;Ada;487800000
Kabupaten Bogor;128;68;2;1;1300;Ada;825000000
Kabupaten Bogor;90;55;2;1;2200;Ada;475000000
Kota Bogor;188;240;5;3;2200;Ada;2200000000
Kota Bogor;78;60;3;2;2200;Ada;925100000
Kota Bogor;84;36;2;1;2200;Ada;765050000
Kota Bogor;470;260;4;2;2200;Ada;4350000000
Kabupaten Bogor;60;40;2;1;1300;Ada;369000000
Kabupaten Bogor;70;66;2;1;1300;Ada;260000000
Kota Bogor;150;70;3;2;2200;Ada;1403050000
Kota Bogor;84;89;2;1;2200;Ada;1318000000
Kota Bogor;195;100;2;2;2200;Ada;1750000000
Kota Bogor;84;36;2;1;1300;Ada;65000000
Kota Bogor;142;80;2;1;1300;Ada;950000000
Kabupaten Bogor;72;36;2;1;1300;Ada;201600000
Kota Bogor;66;45;2;1;2200;Ada;632000000
Kabupaten Bogor;60;30;2;1;1300;Ada;168000000
Kota Bogor;89;69;3;2;2200;Ada;623000000
Kabupaten Bogor;78;36;2;1;2200;Ada;663000000
Kota Bogor;313;200;3;2;1300;Ada;1400000000
Kabupaten Bogor;131;90;2;2;2200;Ada;1150000000
Kabupaten Bogor;97;58;2;1;1300;Ada;915000000
Kabupaten Bogor;80;36;2;1;1300;Ada;377900000
Kabupaten Bogor;79;90;3;2;2200;Ada;845811000
Kabupaten Bogor;81;90;3;2;2200;Ada;860211000
Kabupaten Bogor;72;36;2;1;1300;Ada;363200000
Kabupaten Bogor;66;32;2;1;1300;Ada;316800000
Kabupaten Bogor;60;36;2;1;1300;Ada;395000000
Kabupaten Bogor;90;69;2;2;2200;Ada;678700000
Kota Bogor;206;100;4;2;2200;Ada;1600000000
Kabupaten Bogor;75;80;3;2;2200;Ada;950000000
Kota Bogor;105;70;3;2;1300;Ada;795000000
Kabupaten Bogor;72;70;3;3;3500;Ada;890000000
Kota Bogor;320;90;3;3;1300;Ada;1800000000
Kota Bogor;1058;283;6;6;1300;Ada;8500000000
Kabupaten Bogor;60;32;2;1;1300;Ada;318000000
Kabupaten Bogor;78;198;6;3;2200;Ada;1100000000
Kota Bogor;105;126;3;2;2200;Ada;1100000000
Kota Bogor;168;200;5;2;1300;Ada;1399000000
Kabupaten Bogor;66;60;2;1;1300;Ada;390000000
Kabupaten Bogor;67;45;2;1;1300;Ada;385000000
Kota Bogor;313;200;3;2;1300;Ada;1500000000
Kabupaten Bogor;74;45;2;1;1300;Ada;375000000
Kabupaten Bogor;120;70;3;2;2200;Ada;1500000000
Kabupaten Bogor;84;36;2;1;1300;Ada;390200000
Kabupaten Bogor;72;36;2;1;1300;Ada;400000000
Kabupaten Bogor;72;36;2;1;1300;Ada;419530000
Kabupaten Bogor;90;36;2;1;1300;Ada;440550000
Kabupaten Bogor;107;31;2;1;1300;Ada;408650000
Kota Bogor;210;150;4;2;2200;Ada;1200000000
Kabupaten Bogor;90;36;2;1;1300;Ada;440550000
Kabupaten Bogor;72;90;3;2;2200;Ada;900000000
